Titulo,Año ,Column1,idioma,Tipo,Visto,,
86,2021,SciFi,japones,Anime,0,,
¿Dónde Está Anne Frank?,,español,,0,,,
3.00%,,SciFi,portugues,serie,0,,
A.D. Police,1999,Cyberpunk,japones,anime,0,,
Accel World,2012,Scifi,japones,anime,0,,
Adolescence,,,ingles,,100,,
afro Samurai,2007,Samurai,japones,anime,0,,
After Life: Más allá de mi mujer,,,ingles,serie,100,,
Ajin,2016,Suspenso,japones,anime,0,,
Akame ga Kill!,2002,Aventura,japones,anime,0,,
Aku no Hana,2013,Drama,japones,anime,0,,
AlRawabi School for Girls ,,,,serie,0,,
American Primeval ,,,ingles,serie,0,,
Amnesia ,,,japones,anime,0,,
Andor,,,ingles,serie,100,,
Angel Cop,,,japones,anime,0,,
Aoi Bungaku ,2009,Drama,japones,anime,0,,
Apagón,,,español,serie,0,,
Apollo 10 1/2: A Space Age Childhood ,,,ingles,animacion,0,,
Arcane,,,ingles,animacion,100,,
Archivo 81,,Suspenso,ingles,serie,100,,
Armitage III: Poly-Matrix ,,,ingles,anime,0,,
B the Beginning Succession,2021,Suspenso,japones,anime,0,,
Baccano!,2007,Misterio,japones,anime,0,,
Banana Fish,2018,Accion,japones,anime,0,,
Barbarians ,,,ingles,serie,0,,
Barry,,,ingles,serie,100,,
Battle Angel Alita ,,,japones,anime,0,,
Beastars,2019,Drama,japones,anime,100,,
Bebé reno,,,ingles,serie,100,,
Beck: Mongolian Chop Squad,,,japones,anime,0,,
BEEF,,,ingles,serie,100,,
Bersek,1998,Guerra,japones,anime,0,,
Better Call Saul ,,,ingles,serie,0,,
Big Little Lies,,,ingles,serie,100,,
Biggie: I Got a Story to Tell ,,documental,ingles,documental,0,,
Black Bird ,,,ingles,serie,0,,
Black Jack ,,,japones,anime,0,,
Black Lagoon,2006,Accion,japones,anime,0,,
Black Mirror ,,,ingles,serie,50,,
Black Sails ,,,ingles,serie,100,,
Blood+,2005,Terror,japones,anime,0,,
BLUE GENDER（1999）,,,japones,anime,0,,
BNA,2020,Fantasia,ingles,animacion,0,,
Boiling Point ,,,ingles,serie,0,,
BoJack Horseman,,,ingles,animacion,100,,
Boogiepop Phantom,2020,Terror,japones,anime,0,,
Borgia Season 2 ,,,ingles,serie,100,,
Bosch ,,,ingles,serie,100,,
Bowling for Columbine Official ,,,ingles,documental,0,,
Breaking Bad Trailer,,,ingles,serie,100,,
BROOKLYN NINE-NINE ,,,ingles,serie,100,,
Bubblegum Crisis Tokyoo 2040,1998,SciFi,japones,anime,0,,
Califato,2020,Guerra,ingles,serie,0,,
Vida y destino,,guerra,aleman,serie,0,,
Carl Sagan's Cosmos,,,ingles,serie,100,,
Carmel: ¿Quién mató a María Marta?,,,español,serie,0,,
Carol y el fin del mundo,,,ingles,animacion,100,,
Casshern Sins Trailer ,,,japones,anime,0,,
Cells at work,2018,Comedia ,japones,anime,0,,
Chainsaw Man ,,,japones,anime,0,,
Chernobyl,,,ingles,serie,100,,
Clark,,,ingles,serie,100,,
Code Geass,2006,SciFi,japones,anime,0,,
Common Side Effects,,,ingles,serie,100,,
Community Trailer,,,ingles,serie,0,,
Coppelion,2013,SciFi,japones,anime,0,,
Coraje el perro cobarde,,,ingles,animacion,100,,
COSMOS: A Spacetime Odyssey,,,ingles,serie,100,,
Cryptozoo,,,,,0,,
Curb Your Enthusiasm (2021),,,,,0,,
Cyber City Oedo 808,,,,,0,,
Cyberpunk: Edgerunners,,,,,100,,
Da Vinci's Demons,,,,,0,,
DAHMER - Monstruo: La historia de Jeffrey Dahmer,,,,,100,,
'Dante''s Inferno: An Animated Epic,,,,,100,,
daria morgendorffer,,,,,50,,
Dark ,2017,Suspenso,,,0,,
Death Parade,2015,Suspenso,,,0,,
Dennou Coil,2007,SciFi,,,0,,
Depredador: Cazador De Asesinos,,,,,100,,
Devilman ,2018,Sobrenatural ,,,0,,
Devs,,,,,0,
DEVS,,,,,0,,
Dick Johnson Is Dead,,,,,0,,
DISCLAIMER,,,,,0,,
Doctor Portuondo,,,,,0,,
'Don''t Hug Me I''m Scared,,,,,100,,
Dopesick | Tráiler oficial | Disney+,,,,,0,,
Dopesick Official Trailer | Hulu,,,,,0,,
Dorohedoro,2020,Terror,,,0,,
Dororo,2019,Aventura,,,0,,
Dos hombres y medio Two and a half Men TRAILER,,,,,0,,
DREAM CORP LLC Trailer | DREAM CORP LLC | Adult Swim,,,,,0,,
Dream Raider - TV Show - Season 1 - HD Trailer,,,,,0,,
El asombroso mundo de Gumball_Trailer,,,,,0,,
El caso Cassez-Vallarta: Una novela criminal | Tráiler oficial | Netflix,,,,,0,,
El Chacal | Tráiler oficial | Disney+,,,,,0,,
El Colapso - Tráiler | Filmin,,,,,0,,
El ensayo | Tráiler oficial | Español subtitulado | HBO Max,,,,,0,,
El Eternauta | Primer vistazo | Netflix,,,,,0,,
el mundo de beakman intro,,,,,0,,
El Nivel Secreto - Tráiler Oficial | Amazon Prime,,,,,0,,
El Pingüino | Tráiler Oficial | Max,,,,,100,,
El tiempo entre costuras - Trailer HD,,,,,0,,
El último baile | Tráiler oficial | Netflix,,,,,0,,
En Terapia - Trailer,,,,,0,,
Epidemia 😷 la serie que se adelantó al Covid-19,,,,,0,,
Erased,2016,Psicologico,,,0,,
Ergo Proxy ,2006,SciFi,,,0,,
Escalera Al Cielo - Intro,,,,,0,,
Espiritu de Lucha ,2000,Box,,,0,,
Esto te va a doler - Tráiler español Movistar+,,,,,0,,
Eureka Seven trailer,,,,,0,,
Exclusive Premiere! SHATTER BELT trailer,,,,,0,,
Exterior Noche - Tráiler español,,,,,0,,
Fallout - Official Trailer | Prime Video,,,,,100,,
fametsu no Anata e,2021,Drama,,,0,,
Fantastic Children,2004,SciFi,,,0,,
Fargo | Trailer | Netflix,,,,,0,,
First Love | Super Teaser Trailer | Netflix,,,,,0,,
Fleabag - Trailer Oficial Español | Amazon Prime Video España,,,,,0,,
For All Mankind — Official First Look Trailer | Apple TV+,,,,,0,,
Forky Pregunta | Tráiler Oficial Doblado | Disney+,,,,,0,,
Funniest That 70s Show Moments Season 1 HD,,,,,0,,
Gakkou Gurashi!,2015,Terror,,,0,,
Gangsta,2015,Accion ,,,0,,
Gatitos explosivos | Tráiler oficial | Netflix,,,,,0,,
Genius - Tráiler extendido (estreno 25 de abril en NatGeo),,,,,0,,
'Genndy Tartakovsky''s Primal Season 1 Trailer | Rotten Tomatoes TV',,,,,0,,
Ghost Hound,2007,SciFi,,,0,,
Godless | Teaser: Welcome to No Man’s Land [HD] | Netflix,,,,,0,,
Golden Boy Trailer,,,,,0,,
GOLIATH Season 1 TRAILER (2016) New Amazon Series,,,,,0,,
Good Omens – Tráiler oficial | Amazon Prime Video,,,,,0,,
'Goodbye, DonGlees! | Official Trailer | Eng Sub',,,,,0,
Gravity Falls - Official Trailer - HD,,,,,100,,
Greatest fall in anime | Kite (1998),,,,,0,,
GUILLERMO DEL TORO’S CABINET OF CURIOSITIES | Official Trailer | Netflix,,,,,0,,
Gun frontier ,2002,Aventura,,,0,,
Gungrave,2003,SciFI,,,0,,
Hacks | Official Trailer | HBO GO,,,,,0,,
Haibane Renmei,2002,Misterio,,,0,,
Haibane Renmei trailer,,,,,0,,
Hajime no Ippo - Trailer/AMV - The Boxing Program [HD],,,,,0,,
Halo The Series (2022) | Trailer Oficial Subtitulado en Español,,,,,0,,
Hannibal - Trailer (Temporada 1),,,,,0,,
Happy Tree Friends - Friday the 13th,,,,,0,,
