Duracion_min,I_TR2_mmh,P_TR2_mm,I_TR5_mmh,P_TR5_mm,I_TR10_mmh,P_TR10_mm,I_TR25_mmh,P_TR25_mm,I_TR50_mmh,P_TR50_mm,I_TR100_mmh,P_TR100_mm
5,88.56,7.38,118.08,9.84,140.21,11.68,169.73,14.14,191.87,15.99,214.01,17.83
10,66.28,11.05,88.37,14.73,104.94,17.49,127.03,21.17,143.6,23.93,160.17,26.7
15,54.02,13.51,72.03,18.01,85.53,21.38,103.54,25.88,117.04,29.26,130.55,32.64
20,46.22,15.41,61.63,20.54,73.18,24.39,88.59,29.53,100.15,33.38,111.7,37.23
30,36.66,18.33,48.88,24.44,58.05,29.02,70.27,35.13,79.43,39.72,88.6,44.3
40,30.89,20.59,41.19,27.46,48.91,32.61,59.2,39.47,66.93,44.62,74.65,49.77
60,24.07,24.07,32.09,32.09,38.11,38.11,46.13,46.13,52.15,52.15,58.17,58.17
90,18.61,27.92,24.82,37.22,29.47,44.2,35.67,53.51,40.33,60.49,44.98,67.47
120,15.45,30.89,20.6,41.19,24.46,48.92,29.61,59.21,33.47,66.94,37.33,74.66
180,10.66,31.97,14.12,42.35,16.66,49.99,20.05,60.16,22.6,67.79,25.14,75.42
240,8.61,34.46,11.4,45.58,13.43,53.71,16.14,64.55,18.17,72.67,20.2,80.79
360,6.38,38.31,8.42,50.55,9.91,59.43,11.88,71.27,13.36,80.14,14.84,89.02
720,3.82,45.9,5.03,60.33,5.89,70.66,7.04,84.42,7.9,94.74,8.76,105.06
1440,2.29,55.0,3.0,72.0,3.5,84.0,4.17,100.0,4.67,112.0,5.17,124.0
