Duracion_min;Tr_2.0;Tr_5.0;Tr_10.0;Tr_20.0;Tr_50.0;Tr_100.0;Tr_200.0;Tr_500.0
5;338,23610640862194;460,6314838395551;518,0016759759284;586,3530869797727;642,6380321765823;691,1219873830819;766,3837888897115;871,3405941869995
10;183,24620152496874;247,3428003864015;280,66092708853824;317,699510039424;350,14573333439955;378,58882871360794;417,5670751823648;474,6713804695657
15;128,03442232901168;171,92047746037898;196,10770096287496;221,9898218909623;245,46181456874302;266,235676066588;292,72505790767616;332,7230764752364
20;99,27730877070402;132,81432782891721;152,06621840709695;172,13685903690302;190,77930099629737;207,38668982223462;227,51298344783586;258,58191497104576
25;81,4999928248183;108,71935017133862;124,83944753313854;141,31721537634255;156,90368858427354;170,85712259014664;187,1144331809176;212,65478422573133
30;69,36521888615546;92,31521038112292;106,2540368382901;120,2791615061978;133,7415508644352;145,84090016507614;159,4923431772731;181,25417669991728
35;60,52631554606935;80,3924425789982;92,71625297335521;104,9547935934058;116,84699893847525;127,57009157395287;139,34471298235727;158,3514470442208
40;53,78547524986895;71,31659239359406;82,39171380396706;93,26768629707247;103,9474088175619;113,60408932710233;123,961300384445;140,8650479073496
45;48,46559249744797;64,1655023747784;74,24344777357737;84,04403782883325;93,75651516812849;102,55994817792462;111,8081577001931;127,0509446681277
50;44,15425741513759;58,37844235791581;67,63984887859667;76,56889864169602;85,49004937684217;93,59360445716354;101,9499991002624;115,84579057293686
55;40,585529069484544;53,59435875208992;62,17362286230546;70,3812288374303;78,64180458480514;86,15977400987313;93,78314410019861;106,56326769079307
60;37,58;49,57;57,57;65,17;72,87;79,89;86,9;98,74
65;35,012125324987316;46,13534733672051;53,63670115024782;60,71755933949667;67,93528420103952;74,52606441454134;81,01512706753405;92,0514898324213
70;32,79134665392466;43,1678957583335;50,235029581036635;56,866907058790964;63,66488767038009;69,88145715164492;75,92248829592924;86,26351218947386
75;30,850652261642214;40,57708438607087;47,26235103211699;53,50186460705586;59,93088205810081;65,81799215478571;71,46952229717424;81,20263707073201
80;29,13936108537958;38,29448549546225;44,64104240023635;50,53456508895775;56,63645764220011;62,231038659726764;67,54077837727361;76,73762383638383
85;27,618413657296934;36,26740805113191;42,31127973522133;47,89728958786225;53,70696278732791;59,03987201002105;64,04723057731148;72,76727233094478
90;26,257207795211237;34,45460330520102;40,22619201593086;45,53698144148464;51,08387943868469;56,18118271801823;60,91909310873604;69,2122548839265
95;25,03141748320939;32,8233071478737;38,34852068238183;43,41146496574645;48,72066833015028;53,60459778459489;58,10086553135512;66,00948335335944
100;23,921455454270212;31,347156939086922;36,6482650053776;41,48678010381876;46,579838934312015;51,26952076968409;55,547838506364315;63,10813670302036
105;22,91136782801769;30,004694853210623;35,10098915846355;39,73526609438078;44,63084185853026;49,14285784000407;53,22358036302227;60,46680365445175
110;21,988025222474185;28,778273400158408;33,686583349584915;38,134159116988734;42,8485258549417;47,19735230554396;51,098096999233;58,05139083337719
115;21,140521361527735;27,653242231815465;32,388342741245275;36,664549661507735;41,211990160979234;45,41034537936895;49,14646323582229;55,83356689160085
120;20,359719506080456;26,617335213292844;31,19227277024871;35,31059617322949;39,703718595146455;43,762840827064274;47,347790179535515;53,78958861809472
125;19,637905902396348;25,66020238815286;30,086558370717476;34,05892423043133;38,30891770903782;42,23878978343585;45,684435934297326;51,899403695619846
130;18,968521844823787;24,77304832041934;29,06115360039679;32,89816201413328;37,0150048936376;40,82453741946566;44,14139514110484;50,14595675277162
135;18,345954262929798;23,948349584804706;28,10746090155532;31,818577241094314;35,811208158447535;39,50839018144135;42,70582169379575;48,514646810994634
140;17,765370412468236;23,179631871132642;27,218077910599405;30,811790559667656;34,68825009546288;38,28027395281949;41,366651849757176;46,99289885987236
145;17,222586178443965;22,461292498339215;26,386595747668746;29,870547219303823;33,638096022364564;37,13146155329759;40,114303877762346;45,56982243843682
150;16,713960261486488;21,788457879405275;25,607436949054;28,988533614462927;32,65375156297168;36,05435366412382;38,940436662350294;44,23593723657203
155;16,23630848829318;21,15686814753772;24,875724221731176;28,16022871820747;31,72909867634774;35,04230131620979;37,83775416024147;42,98295081921102
160;15,786833908587665;20,562783079550115;24,18717337669638;27,380782885468285;30,858761856070327;34,089461000982666;36,79984583624465;41,80357725024495
165;15,363069379266909;20,00290485800033;23,53800538789408;26,645918305922027;30,03799820089482;33,19067560000556;35,82105556703683;40,691388077031974
170;14,962830102859694;19,47431425084232;22,924873697400045;25,951846715194623;29,262606519940572;32,34137590718236;34,896373244590045;39,64068911831462
175;14,58417415897618;18,974417560480276;22,344803762901833;25,29520096400646;28,52885172599273;31,53749869457656;34,021344611457586;38,646417976704804
180;14,225369497694787;18,500902275883863;21,795142502506796;24,67297779082569;27,833401591627894;30,77541815952993;33,19199583935583;37,704058310078224
185;13,884866190615732;18,05169980309483;21,2735157924036;24,082489710140702;27,173273566659734;30,051888264508424;32,4047701063784;36,809567741879015
190;13,561272985570561;17,6249539875696;20,77779255619904;23,521324362341147;26,545789833233847;29,363993997321675;31,656473998020818;35,9593169381221
195;13,25333740413895;17,218994402675502;20,30605428059791;22,987310006084726;25,948539143802755;28,70910997798939;30,944231997128586;35,15003787898709
200;12,959928771318253;16,832313581427787;19,856569022131296;22,47848609442253;25,379344274120633;28,084865148623738;30,265447670035226;34,378779741846756
205;12,68002368429206;16,463547527264865;19,427769149756497;21,99307807984351;24,836234148095173;27,489112525605737;29,617770424120863;33,64287111718319
210;12,412693519932835;16,111458964705864;19,0182322101153;21,529475754096943;24,31741986847219;26,91990318486852;28,999066923268416;32,93988751897981
